DATE,compresor type,shift A running time,shift B running time,shift C running time,flow shift A,flow shift B,flow shift c ,energy shift A ,energy shift B ,energy shift C ,
01-05-2025,centac,0,0,0,0,0,0,0,0,0,
,screw1,2,0,0,0.108,0,0,319.7,0,0,
,screw2,1,0,0,0.092,0,0,0,0,0,
,screw3,0,0,0,0,0,0,0,0,0,
02-05-2025,centac,0,-2,0,0,0,0,0,0,0,
,screw1,2,0,0,0,0.11,0,38.9,286.1,0,
,screw2,0,0,0,0,0,0,23.5,0,0,
,screw3,0,0,0,0,0,0,0,0,0,
03-05-2025,centac,0,2,0,0,0,0,0,0,0,
,screw1,6,0,0,0.24,0.143,0,690.2,323.8,0,
,screw2,4,0,0,0.225,0,0,585.9,0,0,
,screw3,0,0,0,0,0,0,0,0,0,
04-05-2025,centac,0,0,0,0,0,0,0,0,0,
,screw1,3,6,0,0.184,0,0,486.8,0,0,
,screw2,12,0,7,0.449,0.265,0.401,1124.2,760.5,1140,
,screw3,0,8,0,0,0,0,0,0,0,
05-05-2025,centac,8,3,8,2.462,2.338,2.378,0,0,0,
,screw1,2,3,0,0.433,0.328,0,449.4,731.2,0,
,screw2,1,0,0,0.46,0.343,0,801.7,435.4,0,
,screw3,0,8,0,0,0,0,0,0,0,
06-05-2025,centac,8,5,8,2.39,2.412,2.398,0,0,0,
,screw1,3,2,0,0.225,0.297,0,327.9,866.9,0,
,screw2,3,0,0,0.184,0.139,0,413.7,367.8,0,
,screw3,0,8,0,0,0,0,0,0,0,
07-05-2025,centac,8,3,8,2.37,2.529,2.385,0,0,0,
,screw1,5,1,0,0.275,0.175,0,842.4,516.3,0,
,screw2,4,0,0,0.286,0.056,0,693.5,161.4,0,
,screw3,0,8,0,0,0,0,0,0,0,
08-05-2025,centac,8,2,8,2.117,2.596,2.389,0,0,0,
,screw1,5,1,0,0.316,0.129,0,921.7,376,0,
,screw2,3,0,0,0.218,0.041,0,494.9,102.5,0,
,screw3,0,8,0,0,0,0,0,0,0,
09-05-2025,centac,8,4,8,2.712,2.303,2.327,0,0,0,
,screw1,3,8,0,0.373,0.05,0,457.8,649.6,0,
,screw2,9,0,0,0.193,0.163,0,557.7,454.2,0,
,screw3,0,8,0,0,0,0,0,0,0,
10-05-2025,centac,8,3,8,2.253,2.33,2.348,0,0,0,
,screw1,6,2,0,0.395,0.171,0,1136.4,521.2,0,
,screw2,7,0,0,0.425,0.14,0,1175.7,423.1,0,
,screw3,0,0,0,0,0,0,0,0,0,
11-05-2025,centac,0,0,0,0,0,0,0,0,0,
,screw1,0,7,0,0,0,0,298.7,0,0,
,screw2,8,0,7,0.481,0.222,0.406,1264.4,981.8,1140,
,screw3,0,0,0,0,0,0,0,0,0,
12-05-2025,centac,0,3,0,0,0,0,0,0,0,
,screw1,7,1,0,0.396,0.172,0,828.3,510.1,0,
,screw2,3,0,0,0.265,0.056,0,407.1,165.5,0,
,screw3,0,0,0,0,0,0,0,0,0,
13-05-2025,centac,0,3,0,0,0,0,0,0,0,
,screw1,4,0,0,0.232,0.222,0,677.5,641.3,0,
,screw2,4,0,0,0.208,0.015,0,589.5,47.3,0,
,screw3,0,0,0,0,0,0,0,0,0,
14-05-2025,centac,0,0,0,0,0,0,0,0,0,
,screw1,4,0,0,0.237,0,0,679.5,0,0,
,screw2,4,0,0,0.172,0,0,531.7,0,485.5,
,screw3,0,0,0,0,0,0,0,0,0,
15-05-2025,centac,0,3,0,0,0,0,0,0,0,
,screw1,7,3,0,0.391,0.193,0,1123.9,571.6,0,
,screw2,9,0,0,0.439,0.142,0,860.8,572,0,
,screw3,0,0,0,0,0,0,0,0,0,
16-05-2025,centac,0,3,0,0,0,0,0,0,0,
,screw1,5,4,0,0.284,0.217,0,822.8,633.2,0,
,screw2,9,0,0,0.451,0.278,0,1386.1,742.2,0,
,screw3,0,0,0,0,0,0,0,0,0,
17-05-2025,centac,0,2,0,0,0,0,0,0,0,
